# Migration Manifest
#
# Schema (tab-separated, one row per copied file):
#   legacy_path   - path to the original .swift file in the podcast-player repo
#                   (relative to the repo root, e.g. App/Sources/Features/Home/HomeView.swift)
#   copied_path   - path to the destination .swift file in the NMP repo
#                   (relative to the NMP repo root,
#                    e.g. ios/Podcast/Podcast/Features/Home/HomeView.swift)
#   sha256        - SHA-256 hex digest of the copied file at the time of copy,
#                   used to detect drift between legacy and migrated versions
#
# Columns are separated by a single TAB character.
# Lines beginning with '#' are comments and are ignored by tooling.
# The header row (below) uses literal column names.
#
legacy_path	copied_path	sha256
App/Sources/Features/Identity/AccountDetailsView.swift	ios/Podcast/Podcast/Features/Identity/AccountDetailsView.swift	c58f6aad91528f53e6e991766a5dbb519bc640efa4e0bb97d6bc7c37d0972185
App/Sources/Features/Identity/AdvancedView.swift	ios/Podcast/Podcast/Features/Identity/AdvancedView.swift	04b062195bd841fd37e3a1a7856f7193eb4f57490af75cfeb73563043cbcf8ee
App/Sources/Features/Identity/AvatarStylePickerView.swift	ios/Podcast/Podcast/Features/Identity/AvatarStylePickerView.swift	c1c0f57370c312d6856587e33e5e83f822eebb4430c6cb1c043bbf56bd8c62b1
App/Sources/Features/Identity/ChangePhotoSheet.swift	ios/Podcast/Podcast/Features/Identity/ChangePhotoSheet.swift	72cf76804e0e57f2e300cae42e799c3ea26ad32ecf78d16461b44ab9449f55e1
App/Sources/Features/Identity/EditProfileView.swift	ios/Podcast/Podcast/Features/Identity/EditProfileView.swift	97e6791f9336abc5eaa6c4fb5b8302a3d02470476e7642339226195b9c854aab
App/Sources/Features/Identity/IdentityAvatarView.swift	ios/Podcast/Podcast/Features/Identity/IdentityAvatarView.swift	47a35fa3c59ad3b65872a0b3c02a65bdfc96fd8400d659ef196640e738094ab8
App/Sources/Features/Identity/IdentityRootView.swift	ios/Podcast/Podcast/Features/Identity/IdentityRootView.swift	08a3543d2a551dc370de707f48a5c587c9f9502b32a4bb7db539ffd0840cb848
App/Sources/Features/Identity/IdentitySettingsRow.swift	ios/Podcast/Podcast/Features/Identity/IdentitySettingsRow.swift	29acf67b0cc78f1edcfc7cf2dc86f7f3c2a9c2951316fd7154fc30351fd66549
App/Sources/Features/Identity/ModeBadge.swift	ios/Podcast/Podcast/Features/Identity/ModeBadge.swift	db7e88cb5313d88940b4e287267b639689ac5e850a4db53f447f29e135dfa987
App/Sources/Features/Identity/NostrConnectView.swift	ios/Podcast/Podcast/Features/Identity/NostrConnectView.swift	7e396dbb3e4e6f12130225ceaf86de2cc5908d207255f6e3f6f744a05eaf6473
App/Sources/Features/Identity/RemoteSignerView.swift	ios/Podcast/Podcast/Features/Identity/RemoteSignerView.swift	c364837490e8579694293f98964cb4a86edbc37ebbe823f747acc827cad3d377
App/Sources/Features/Identity/UseMyOwnKeyView.swift	ios/Podcast/Podcast/Features/Identity/UseMyOwnKeyView.swift	094d2076f501f62b0f2afca3ad6b51c5a45c3aa51016e675d6840f3b81766fc3
App/Sources/Features/Identity/UserProfileDisplay.swift	ios/Podcast/Podcast/Features/Identity/UserProfileDisplay.swift	3d0624ca25948bf225741b7f77009e960849468464377dc47a145241b2fa448a
App/Sources/Features/Onboarding/OnboardingAISetupPage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingAISetupPage.swift	5d22740943702815cfffb60958c56b1eed679cce5e1a7de9a1f1f3321ef00d23
App/Sources/Features/Onboarding/OnboardingElevenLabsPage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingElevenLabsPage.swift	875b2be7d12922e830e625300a3f2641f3204a2e501e07d561702cc44fd52a36
App/Sources/Features/Onboarding/OnboardingIdentityPage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingIdentityPage.swift	deb59c1e721f9ad432050cc021bb5c781d7bd4a3e9ceb93a135a1572179977c1
App/Sources/Features/Onboarding/OnboardingLayout.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingLayout.swift	47a203a7ac3f03fa49207fcbef3fab05ee8115cdeb9eeaa7a27e5d48f6114e52
App/Sources/Features/Onboarding/OnboardingPages.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingPages.swift	ebf5d867e5796d2a662f4c6cf5b33db9959b23a8865bf43bd3697b4f96ac96ba
App/Sources/Features/Onboarding/OnboardingReadyPage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingReadyPage.swift	ea01840320bc2e58c29b45d0a41d86aa7cf38b64daab2a9e82068496cc4ac900
App/Sources/Features/Onboarding/OnboardingStep.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingStep.swift	7b8fdb9eaf539ca8111992cac14c667423552abb6281a08f1b55b3b904d58f02
App/Sources/Features/Onboarding/OnboardingSubscribePage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingSubscribePage.swift	a27530f1953cc18c9c183549ec53c0181d3739225bf445544037beaa038e2d53
App/Sources/Features/Onboarding/OnboardingView.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingView.swift	9f4823ad1b35e356ab429ae5b301578f6c2bce3153931e5c2b061f7b90d372b3
App/Sources/Features/Onboarding/OnboardingView+Handlers.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingView+Handlers.swift	e35756da192be18ca21da31190b2eb4d778b5e9593a1bf1680112f1b3a72fd62
App/Sources/Features/Onboarding/OnboardingWelcomePage.swift	ios/Podcast/Podcast/Features/Onboarding/OnboardingWelcomePage.swift	9c76b39177a5b24aba71a688337e8e7840c68f2050e474f7efc54903da2fa16e
